wavelength,Filter A,Filter B,Radiation A,Radiation B,Radiation C,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
1150,98.1636,0.0,0.0781269110949283,0.000573531798929073,5.154793420925684e-09,0.010836656580944333,0.0,4.510049331008075e-12
1160,96.7043,0.0,0.0781269110949283,0.0006479774372055914,6.59347125141272e-09,0.010675558852778575,0.0,5.768782214577056e-12
1170,95.422,0.0,0.0834819930108759,0.0007302914964409816,8.395171464433686e-09,0.01125603676984868,0.0,7.34513187146653e-12
1180,95.3148,0.0,0.192176677711462,0.0008210980859804719,1.0641663200835458e-08,0.02588243914889354,0.0,9.310640035526873e-12
1190,96.0551,0.0,0.10430572822713699,0.0009210511536330792,1.3430867061859855e-08,0.014157050052771583,0.0,1.1750979731079452e-11
1200,96.2613,0.0,0.0844615174792373,0.0010308344352572653,1.6879579233331317e-08,0.011488273915974904,0.0,1.4768338672883787e-11
1210,95.6928,0.0,0.0857817510806707,0.0011511613050420894,2.112657080123763e-08,0.011598941264531999,0.0,1.8484130929829975e-11
1220,95.1395,0.0,0.0857817510806707,0.0012827745257626992,2.6336100801574747e-08,0.01153187567337294,0.0,2.304207057441571e-11
1230,95.7197,0.0,0.09880022674530449,0.0014264458988338404,3.270188377691182e-08,0.013362984037423545,0.0,2.861164299078344e-11
1240,97.1095,0.0,0.0928533803472709,0.0015829758145197753,4.045155477616475e-08,0.012741002957115645,0.0,3.5392011407455487e-11
1250,98.0392,0.0,0.0959742360565577,0.0017531927031798158,4.98516768090686e-08,0.01329531410685606,0.0,4.3616398036372827e-11
1260,97.5832,0.0,0.111789887608621,0.001937952388931515,6.121333772889697e-08,0.015414227152031168,0.0,5.3556980916493496e-11
1270,96.3083,0.0,0.213527273985817,0.0021381373475956983,7.4898385341792e-08,0.029057701098575042,0.0,6.553034915678029e-11
1280,95.6927,0.0,0.101748028192576,0.0023546558712463166,9.132635120445898e-08,0.01375779993565448,0.0,7.990356072874656e-11
1290,96.2976,0.1,0.09283951529231381,0.0025884411421201654,1.1098211504985776e-07,0.012632593093223428,1.176791645110925e-08,9.710084825175933e-11
1300,97.401,0.0,0.0866231303865808,0.0028404502190462863,1.3442436304949773e-07,0.011921790053061074,0.0,1.1761101932455387e-10
1310,97.5033,0.0,0.08291662727025549,0.0031116629399288278,1.6229489415822663e-07,0.01142365615248731,0.0,1.419955988639586e-10
1320,96.3202,0.0,0.0799978963261158,0.0034030807441609683,1.953288295714858e-07,0.010887799680612206,0.0,1.7089776159783964e-10
1330,94.6633,0.0,0.0783546060417062,0.003715725419157733,2.3436578083535045e-07,0.010480701474090364,0.0,2.0505210330578948e-10
