wavelength,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
27260,,,7.31E-05
27270,,,7.30E-05
27280,,,7.29E-05
27290,,,7.28E-05
27300,,,7.27E-05
27310,,,7.27E-05
27320,,,7.26E-05
27330,,,7.25E-05
27340,,,7.24E-05
27350,,,7.23E-05
27360,,,7.22E-05
27370,,,7.22E-05
27380,,,7.21E-05
27390,,,7.20E-05
27400,,,7.19E-05
27410,,,7.18E-05
27420,,,7.18E-05
27430,,,7.17E-05
27440,,,7.16E-05
27450,,,7.15E-05
27460,,,7.14E-05
27470,,,7.13E-05
27480,,,7.13E-05
27490,,,7.12E-05
27500,,,7.11E-05
27510,,,7.10E-05
27520,,,7.09E-05
27530,,,7.09E-05
27540,,,7.08E-05
27550,,,7.07E-05
27560,,,7.06E-05
27570,,,7.05E-05
27580,,,7.05E-05
27590,,,7.04E-05
27600,,,7.03E-05
27610,,,7.02E-05
27620,,,7.01E-05
27630,,,7.01E-05
27640,,,7.00E-05
27650,,,6.99E-05
27660,,,6.98E-05
27670,,,6.97E-05
27680,,,6.97E-05
27690,,,6.96E-05
27700,,,6.95E-05
27710,,,6.94E-05
27720,,,6.93E-05
27730,,,6.93E-05
27740,,,6.92E-05
27750,,,6.91E-05
27760,,,6.90E-05
27770,,,6.89E-05
27780,,,6.89E-05
27790,,,6.88E-05
27800,,,6.87E-05
27810,,,6.86E-05
27820,,,6.86E-05
27830,,,6.85E-05
27840,,,6.84E-05
27850,,,6.83E-05
27860,,,6.83E-05
27870,,,6.82E-05
27880,,,6.81E-05
27890,,,6.80E-05
27900,,,6.79E-05
27910,,,6.79E-05
27920,,,6.78E-05
27930,,,6.77E-05
27940,,,6.76E-05
27950,,,6.76E-05
27960,,,6.75E-05
27970,,,6.74E-05
27980,,,6.73E-05
27990,,,6.73E-05
28000,,,6.72E-05
28010,,,6.71E-05
28020,,,6.70E-05
28030,,,6.70E-05
28040,,,6.69E-05
28050,,,6.68E-05
28060,,,6.67E-05
28070,,,6.67E-05
28080,,,6.66E-05
28090,,,6.65E-05
28100,,,6.64E-05
28110,,,6.64E-05
28120,,,6.63E-05
28130,,,6.62E-05
28140,,,6.61E-05
28150,,,6.61E-05
28160,,,6.60E-05
28170,,,6.59E-05
28180,,,6.58E-05
28190,,,6.58E-05
28200,,,6.57E-05
28210,,,6.56E-05
28220,,,6.55E-05
28230,,,6.55E-05
28240,,,6.54E-05
28250,,,6.53E-05
28260,,,6.52E-05
28270,,,6.52E-05
28280,,,6.51E-05
28290,,,6.50E-05
28300,,,6.50E-05
28310,,,6.49E-05
28320,,,6.48E-05
28330,,,6.47E-05
28340,,,6.47E-05
28350,,,6.46E-05
28360,,,6.45E-05
28370,,,6.44E-05
28380,,,6.44E-05
28390,,,6.43E-05
28400,,,6.42E-05
28410,,,6.42E-05
28420,,,6.41E-05
28430,,,6.40E-05
28440,,,6.39E-05
28450,,,6.39E-05
28460,,,6.38E-05
28470,,,6.37E-05
28480,,,6.37E-05
28490,,,6.36E-05
28500,,,6.35E-05
28510,,,6.34E-05
28520,,,6.34E-05
28530,,,6.33E-05
28540,,,6.32E-05
28550,,,6.32E-05
28560,,,6.31E-05
28570,,,6.30E-05
28580,,,6.30E-05
28590,,,6.29E-05
28600,,,6.28E-05
28610,,,6.27E-05
28620,,,6.27E-05
28630,,,6.26E-05
28640,,,6.25E-05
28650,,,6.25E-05
28660,,,6.24E-05
28670,,,6.23E-05
28680,,,6.23E-05
28690,,,6.22E-05
28700,,,6.21E-05
28710,,,6.21E-05
28720,,,6.20E-05
28730,,,6.19E-05
28740,,,6.18E-05
28750,,,6.18E-05
28760,,,6.17E-05
28770,,,6.16E-05
28780,,,6.16E-05
28790,,,6.15E-05
28800,,,6.14E-05
28810,,,6.14E-05
28820,,,6.13E-05
28830,,,6.12E-05
28840,,,6.12E-05
28850,,,6.11E-05
28860,,,6.10E-05
28870,,,6.10E-05
28880,,,6.09E-05
28890,,,6.08E-05
28900,,,6.08E-05
28910,,,6.07E-05
28920,,,6.06E-05
28930,,,6.06E-05
28940,,,6.05E-05
28950,,,6.04E-05
28960,,,6.04E-05
28970,,,6.03E-05
28980,,,6.02E-05
28990,,,6.02E-05
29000,,,6.01E-05
29010,,,6.00E-05
29020,,,6.00E-05
29030,,,5.99E-05
29040,,,5.98E-05
29050,,,5.98E-05
29060,,,5.97E-05
29070,,,5.96E-05
29080,,,5.96E-05
29090,,,5.95E-05
29100,,,5.94E-05
29110,,,5.94E-05
29120,,,5.93E-05
29130,,,5.92E-05
29140,,,5.92E-05
29150,,,5.91E-05
29160,,,5.91E-05
29170,,,5.90E-05
29180,,,5.89E-05
29190,,,5.89E-05
29200,,,5.88E-05
29210,,,5.87E-05
29220,,,5.87E-05
29230,,,5.86E-05
29240,,,5.85E-05
29250,,,5.85E-05
29260,,,5.84E-05
29270,,,5.83E-05
29280,,,5.83E-05
29290,,,5.82E-05
29300,,,5.82E-05
29310,,,5.81E-05
29320,,,5.80E-05
29330,,,5.80E-05
29340,,,5.79E-05
29350,,,5.78E-05
29360,,,5.78E-05
29370,,,5.77E-05
29380,,,5.76E-05
29390,,,5.76E-05
29400,,,5.75E-05
29410,,,5.75E-05
29420,,,5.74E-05
29430,,,5.73E-05
29440,,,5.73E-05
29450,,,5.72E-05
29460,,,5.71E-05
29470,,,5.71E-05
29480,,,5.70E-05
29490,,,5.70E-05
29500,,,5.69E-05
29510,,,5.68E-05
29520,,,5.68E-05
29530,,,5.67E-05
29540,,,5.67E-05
29550,,,5.66E-05
29560,,,5.65E-05
