,PSI,Ratio
6.1000000000000005,0.8524192451470375,0.9938153559750186
6.2,0.8524192459509252,0.9938153569122522
6.3,0.8524192521739397,0.9938153641675169
6.4,0.8524192995766763,0.9938154194332419
6.5,0.852419882191255,0.9938160986897442
6.6000000000000005,0.852420293444154,0.9938165781597335
6.7,0.852420293444154,0.9938165781597335
6.8,0.8524223050336714,0.9938189234241837
6.9,0.8524223050336714,0.9938189234241837
7.0,0.8524223050336714,0.9938189234241837
7.1000000000000005,0.8524239308488182,0.9938208189234559
7.2,0.8524253839799945,0.9938225130945876
7.3,0.8524253839799945,0.9938225130945876
7.4,0.852425393199836,0.9938225238437819
7.5,0.852425393199836,0.9938225238437819
7.6000000000000005,0.852425393199836,0.9938225238437819
7.7,0.8524272639268722,0.9938247048800102
7.8,0.8524272639268722,0.9938247048800102
7.9,0.8524272759718147,0.9938247189229226
8.0,0.8524272880348219,0.9938247329868963
8.1,0.8524272880348219,0.9938247329868963
8.2,0.8524273001160332,0.9938247470720937
8.3,0.8524273001160332,0.9938247470720937
8.4,0.8524263353331478,0.9938236222546378
8.5,0.8524263353331478,0.9938236222546378
8.6,0.8524263353331478,0.9938236222546378
8.700000000000001,0.8524263353331478,0.9938236222546378
8.8,0.8524247140612322,0.9938217320522108
8.9,0.8524247222744973,0.9938217416278615
9.0,0.8524247222744973,0.9938217416278615
9.1,0.8524240303284507,0.9938209349043972
9.200000000000001,0.8524228758534795,0.9938195889294429
9.3,0.8524228758534795,0.9938195889294429
9.4,0.8524228758534795,0.9938195889294429
9.5,0.8524216055081079,0.9938181078639403
9.6,0.8524216055081079,0.9938181078639403
9.700000000000001,0.8524212797144946,0.993817728028903
9.8,0.8524212797144946,0.993817728028903
9.9,0.85242052878749,0.9938168525409402
10.0,0.8524201776790302,0.9938164431919245
10.1,0.8524201776790302,0.9938164431919245
10.200000000000001,0.8524197206067348,0.9938159103021892
10.3,0.8524193328964444,0.9938154582799684
10.4,0.8524193328964444,0.9938154582799684
10.5,0.8524193331603475,0.9938154585876466
10.6,0.8524193331603475,0.9938154585876466
10.700000000000001,0.8524192607607228,0.9938153741786435
10.8,0.8524192607607228,0.9938153741786435
10.9,0.8524192472644162,0.9938153584436201
11.0,0.8524192452991274,0.9938153561523366
11.1,0.8524192452991274,0.9938153561523366
11.200000000000001,0.852419245077453,0.9938153558938917
11.3,0.852419245077453,0.9938153558938917
11.4,0.8524192450651863,0.9938153558795902
11.5,0.8524192450651863,0.9938153558795902
11.6,0.8524192450646179,0.9938153558789274
11.700000000000001,0.8524192450646179,0.9938153558789274
11.8,0.8524192450645015,0.9938153558787919
11.9,0.8524192450645015,0.9938153558787919
12.0,0.8524192450644602,0.9938153558787437
12.1,0.8524192450644602,0.9938153558787437
12.200000000000001,0.8524192450645076,0.993815355878799
12.3,0.8524192450645076,0.993815355878799
12.4,0.8524192450645076,0.993815355878799
12.5,0.8524192450645076,0.993815355878799
12.6,0.8524192450645076,0.993815355878799
12.700000000000001,0.8524192450645076,0.993815355878799
12.8,0.8524192450645076,0.993815355878799
12.9,0.8524192450645076,0.993815355878799
13.0,0.8524192450645076,0.993815355878799
13.1,0.8524192450645076,0.993815355878799
13.200000000000001,0.8524192450645076,0.993815355878799
13.3,0.8524192450645076,0.993815355878799
13.4,0.8524192450645076,0.993815355878799
13.5,0.8524192450645076,0.993815355878799
13.6,0.8524192450645076,0.993815355878799
13.700000000000001,0.8524192450645076,0.993815355878799
13.8,0.8524192450645076,0.993815355878799
13.9,0.8524192450645076,0.993815355878799
14.0,0.8524192450645076,0.993815355878799
14.1,0.8524192450645076,0.993815355878799
14.200000000000001,0.8524192450645076,0.993815355878799
14.3,0.8524192450645076,0.993815355878799
14.4,0.8524192450645076,0.993815355878799
